team_name,season,real_wins,mvp_w,top6_wins,points_for,points_against,avg_weekly_rank,wax,games_played,ppg,papg,points_std,power_score,power_rank
GEMP,2025,7,5.5453,4,1380.84,1338.06,7.64,1.45,14,98.63,95.58,17.029658679059743,23.55,8
POO,2025,8,7.0908999999999995,7,1471.46,1353.58,6.43,0.91,14,105.1,96.68,21.11424044218852,30.09,6
GV,2025,9,8.181799999999999,8,1485.96,1488.3,5.57,0.82,14,106.14,106.31,19.603340374695172,34.18,5
KESS,2025,6,5.2726,4,1334.74,1352.96,7.86,0.73,14,95.34,96.64,15.498644038526953,21.27,9
sgf,2025,9,8.3636,8,1526.08,1390.18,5.43,0.64,14,109.01,99.3,22.08535808535243,34.36,4
KIRK,2025,9,8.5456,10,1524.9,1337.54,5.29,0.45,14,108.92,95.54,17.217081793803086,36.55,3
WOOD,2025,4,4.0908999999999995,4,1229.16,1455.16,8.79,-0.09,14,87.8,103.94,17.268325574063862,16.09,12
ROUX,2025,5,5.1818,5,1319.44,1475.84,7.93,-0.18,14,94.25,105.42,17.955125993725286,20.18,10
ZSF,2025,9,9.2729,11,1656.28,1409.3400000000001,4.71,-0.27,14,118.31,100.67,29.871403797531258,38.27,1
MP,2025,9,9.3637,10,1587.82,1500.16,4.64,-0.36,14,113.42,107.15,24.009292019897284,37.36,2
3000,2025,4,5.2726,4,1288.56,1561.1399999999999,7.86,-1.27,14,92.04,111.51,10.930901855959338,17.27,11
PATS,2025,5,7.8183,9,1477.3799999999999,1620.3600000000001,5.86,-2.82,14,105.53,115.74,23.785934573114492,26.82,7
