week,team_id,team_name,player_id,player_name,position,slot_position,points,projected_points,season
1,1,PATS,4362628,Ja'Marr Chase,RB/WR,WR,3.6,0,2025
1,1,PATS,4259545,D'Andre Swift,RB,RB,8.0,0,2025
1,1,PATS,4683062,Xavier Worthy,RB/WR,FLEX,0.0,0,2025
1,1,PATS,4426354,George Pickens,RB/WR,WR,4.5,0,2025
1,1,PATS,4426348,Jayden Daniels,TQB,QB,20.12,0,2025
1,1,PATS,4241985,J.K. Dobbins,RB,RB,13.8,0,2025
1,1,PATS,4361579,Javonte Williams,RB,BENCH,19.4,0,2025
1,1,PATS,3121023,Dallas Goedert,WR,TE,7.9,0,2025
1,1,PATS,4241457,Najee Harris,RB,BENCH,1.5,0,2025
1,1,PATS,4429275,Trey Benson,RB,BENCH,8.0,0,2025
1,1,PATS,4877706,Jayden Higgins,RB/WR,BENCH,4.2,0,2025
1,1,PATS,4426388,Jameson Williams,RB/WR,BENCH,4.6,0,2025
1,1,PATS,2577417,Dak Prescott,TQB,BENCH,7.82,0,2025
1,1,PATS,-16017,Patriots D/ST,D/ST,D/ST,6.9,0,2025
1,1,PATS,17372,Chris Boswell,WR/TE,K,14.0,0,2025
1,2,3000,4426502,Drake London,RB/WR,WR,9.5,0,2025
1,2,3000,3043078,Derrick Henry,RB,RB,28.700000000000003,0,2025
1,2,3000,4372016,Jaylen Waddle,RB/WR,BENCH,5.0,0,2025
1,2,3000,4361529,Isiah Pacheco,RB,RB,3.8,0,2025
1,2,3000,3052587,Baker Mayfield,TQB,QB,22.58,0,2025
1,2,3000,4360516,Tyrone Tracy Jr.,RB,FLEX,4.5,0,2025
1,2,3000,3128429,Courtland Sutton,RB/WR,WR,15.100000000000001,0,2025
1,2,3000,3051876,Evan Engram,WR,TE,3.6,0,2025
1,2,3000,4362249,Jayden Reed,RB/WR,BENCH,12.0,0,2025
1,2,3000,4432577,C.J. Stroud,TQB,BENCH,8.72,0,2025
1,2,3000,4369863,Cedric Tillman,RB/WR,BENCH,13.7,0,2025
1,2,3000,-16033,Ravens D/ST,D/ST,BENCH,-5.4,0,2025
1,2,3000,4430539,Brenton Strange,WR,BENCH,7.9,0,2025
1,2,3000,4249087,Matt Gay,WR/TE,K,3.0,0,2025
1,2,3000,-16028,Commanders D/ST,D/ST,D/ST,9.7,0,2025
1,3,GV,3929630,Saquon Barkley,RB,RB,16.4,0,2025
1,3,GV,3918298,Josh Allen,TQB,QB,38.76,0,2025
1,3,GV,4685382,Omarion Hampton,RB,RB,7.1000000000000005,0,2025
1,3,GV,3915416,DJ Moore,RB/WR,WR,7.1000000000000005,0,2025
1,3,GV,16737,Mike Evans,RB/WR,WR,7.6000000000000005,0,2025
1,3,GV,3126486,Deebo Samuel,RB/WR,BENCH,21.1,0,2025
1,3,GV,4362238,Chase Brown,RB,FLEX,12.100000000000001,0,2025
1,3,GV,4035687,Michael Pittman Jr.,RB/WR,BENCH,17.0,0,2025
1,3,GV,4575131,Jacory Croskey-Merritt,RB,BENCH,14.200000000000001,0,2025
1,3,GV,4241474,Brian Robinson Jr.,RB,BENCH,4.2,0,2025
1,3,GV,4723086,Colston Loveland,WR,TE,2.2,0,2025
1,3,GV,4242355,Jake Ferguson,WR,BENCH,4.800000000000001,0,2025
1,3,GV,2971573,Ka'imi Fairbairn,WR/TE,K,14.0,0,2025
