team_name,season,real_wins,mvp_w,top6_wins,points_for,points_against,avg_weekly_rank,wax,games_played,ppg,papg,points_std,power_score,power_rank
GV,2025,10,8.4545,8,1579.58,1570.1,5.8,1.55,15,105.31,104.67,19.16485394326465,36.45,4
GEMP,2025,7,5.6362,4,1462.64,1431.68,7.87,1.36,15,97.51,95.45,16.975888559393656,23.64,8
POO,2025,9,8.0,8,1612.96,1492.8600000000001,6.13,1.0,15,107.53,99.52,22.411545323995924,34.0,6
KIRK,2025,10,9.182,11,1633.4,1434.84,5.27,0.82,15,108.89,95.66,16.59115197355277,40.18,2
KESS,2025,6,5.2726,4,1387.9,1493.5,8.13,0.73,15,92.53,99.57,18.483841076799514,21.27,9
WOOD,2025,5,4.6364,5,1335.3,1546.68,8.6,0.36,15,89.02,103.11,17.30104373399808,19.64,11
sgf,2025,9,8.7272,8,1621.88,1539.6599999999999,5.6,0.27,15,108.13,102.64,21.553396108491206,34.73,5
ZSF,2025,10,10.2729,12,1805.76,1505.14,4.47,-0.27,15,120.38,100.34,29.889029234343305,42.27,1
ROUX,2025,5,5.3636,5,1410.96,1581.98,8.07,-0.36,15,94.06,105.47,17.31629983570393,20.36,10
MP,2025,9,10.091,11,1727.1,1641.66,4.6,-1.09,15,115.14,109.44,24.08046511178719,39.09,3
3000,2025,4,5.7271,4,1385.8600000000001,1669.6399999999999,7.8,-1.73,15,92.39,111.31,10.620475821104561,17.73,12
PATS,2025,6,8.6365,10,1617.92,1673.52,5.67,-2.64,15,107.86,111.57,24.639098391049327,30.64,7
